Country;exe_part4510;exe_part8110;fed_unit4510;fed_unit8110;enpp4510;enpp8110;minwin_one_part4510;minwin_one_part8110;exe_dom4510;exe_dom8110;disprop4510;disprop8110;inter_gr_plural4510;inter_gr_plural8110;federal4510;federal8110;bicam4510;bicam8110;const_rigid4510;const_rigid8110;judic_rev4510;judic_rev8110;cen_bank_indep4594;cen_bank_indep8194;gov_effectiv9609;regu_quality9609;rule_of_law9609;ctrl_corrupt9609;corrupt_perc10;gdp_growth8109;gdp_growth9109;consum_price8109;gdp_deflat8109;consum_price9109;gdp_deflat9109;unempl8109;unempl9109;budget_balanc0008;budget_balanc0307;heri_free0910;fras_free08;pol_stab9609;confl_risk9004;domes_conflict_weight8109;domes_conflict_weight9009;deaths_domes_terror8510;voice_account9609;eiu_democ0610;elec_plural0610;gov_funct0610;pol_part0610;pol_cult0610;civ_lib0610;women_parl_rep90;women_parl_rep10;women_cab_rep95;women_cab_rep08;gender_ineq08;10_10_ratio00;20_20_ratio00;gini_ineq00;turnout8110;non_mand_turnout8110;satis_democ9596;satis_democ0507;soc_expend05;mand_soc_expend05;envir_perform10;incarceration10;death_pen10;foreign_aid90;foreign_aid05;aid_vers_def05
FIN;1.58;1.48;-0.83;-0.83;5.04;5.05;10.0;1.4;1.55;2.68;2.96;3.34;0.85;0.67;2.0;2.0;1.0;1.0;3.0;3.0;1.0;1.0;0.28;0.28;2.07;1.66;1.89;2.33;9.2;1.951;1.590;3.466;3.499;1.728;1.588;8.436;10.839;4.5;3.8;74.0;7.55;1.41;11.86;4;6;0;1.57;9.23;10.00;9.88;7.59;8.96;9.71;31.5;40.0;38.9;58;248;5.6;3.8;26.9;72.11;72.11;52;56.0;23.5;23.5;74.7;60;0;0.65;0.46;33
FRA;-0.86;-0.89;-0.22;0.02;3.26;2.94;54.8;50.8;8.00;8.00;20.88;19.56;2.90;2.75;1.3;1.5;3.0;3.0;1.7;2.0;2.4;3.0;0.35;0.35;1.59;1.12;1.40;1.39;6.8;1.325;1.048;3.326;3.259;1.725;1.668;9.824;10.081;-2.7;-3.0;64.6;7.32;0.66;10.52;713;734;4;1.22;7.97;9.58;7.38;6.48;7.50;8.92;6.9;18.9;14.3;47;260;9.1;5.6;32.7;66.08;66.08;47;36.1;30.4;30.7;78.2;96;0;0.60;0.47;19
GER;0.78;0.63;2.41;2.33;3.09;3.30;37.8;43.4;3.80;4.92;2.67;2.55;0.88;0.88;5.0;5.0;4.0;4.0;3.5;3.5;4.0;4.0;0.69;0.69;1.65;1.45;1.62;1.86;7.9;1.559;1.227;;1.898;1.930;1.427;;8.521;-1.2;-1.7;71.8;7.46;0.98;11.51;605;347;0;1.40;8.67;9.58;8.33;7.59;8.54;9.31;20.5;32.8;15.8;33;240;6.9;4.3;28.3;74.60;74.60;67;37.3;28.1;28.8;73.2;85;0;0.42;0.36;26
GRE;-0.64;-0.55;-0.74;-0.77;2.27;2.32;98.1;97.7;4.45;3.69;7.88;6.64;3.12;3.12;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;0.38;0.38;0.79;0.86;0.84;0.51;3.5;1.525;2.229;10.785;11.009;6.439;6.467;8.636;9.475;-5.9;-6.2;60.3;6.95;0.53;9.89;470;475;1;0.98;8.06;9.58;7.14;6.67;7.50;9.41;6.7;17.3;0.0;12;317;10.2;6.2;34.3;85.43;85.43;28;;;;60.9;102;0;;0.17;4
ICE;0.53;0.55;-1.00;-1.09;3.72;4.01;46.3;47.8;3.20;3.28;3.85;2.48;2.20;2.17;1.0;1.0;1.4;1.2;1.0;1.0;2.0;2.0;0.34;0.34;1.86;1.32;1.81;2.13;8.5;;;;;;;;;0.3;2.9;68.2;7.26;1.36;11.92;9;0;0;1.50;9.67;10.00;9.64;8.89;10.00;9.81;20.6;42.9;10.0;36;279;;;;88.14;88.14;;;18.1;19.3;93.5;60;0;;;
IND;0.65;0.63;1.14;1.08;4.80;5.25;30.5;32.0;3.33;3.69;9.60;8.51;2.15;2.15;4.5;4.5;3.0;3.0;3.0;3.0;4.0;4.0;0.34;0.34;-0.05;-0.24;0.16;-0.36;3.3;4.274;4.759;7.969;7.472;7.463;6.872;;;-3.4;-2.5;54.6;6.51;-0.98;7.44;4920;3572;407;0.37;7.59;9.58;8.33;5.19;5.42;9.41;5.0;10.8;4.8;10;748;8.6;5.6;36.8;62.47;62.47;;42.3;;;48.3;32;2;;;
IRE;0.17;0.38;-0.42;-0.46;2.89;2.95;49.5;31.0;4.16;2.95;3.93;4.17;2.55;2.42;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;0.41;0.41;1.62;1.65;1.60;1.57;8.0;3.744;3.952;4.477;4.363;2.704;2.886;10.867;8.455;0.6;1.1;78.7;7.74;1.19;11.43;91;88;0;1.38;8.94;9.58;8.57;7.78;8.75;10.00;7.8;13.9;20.0;21;344;9.4;5.6;34.3;72.56;72.56;70;;17.2;17.2;67.1;99;0;0.16;0.42;70
ISR;1.53;1.38;-0.90;-0.81;5.18;5.65;14.0;18.6;1.46;1.13;2.60;3.76;1.15;1.50;3.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;0.41;0.46;1.08;1.02;0.95;1.05;6.1;1.859;1.911;44.763;44.694;6.066;6.463;7.979;8.746;-2.7;-2.6;68.5;6.67;-1.07;6.58;2379;2137;0;0.66;7.41;8.89;7.21;8.15;7.50;5.29;6.7;19.2;10.0;12;332;13.4;7.9;39.2;78.93;78.93;;;;;62.4;325;1;;;
ITA;1.12;1.13;-0.39;-0.16;4.84;5.36;11.7;8.3;1.49;2.01;3.61;4.82;2.42;2.08;1.3;1.5;3.0;3.0;2.0;2.0;2.1;2.5;0.28;0.33;0.72;0.91;0.63;0.48;3.9;1.213;608;5.334;5.776;3.024;3.232;9.638;9.560;-2.3;-2.6;60.3;6.90;0.67;10.88;692;494;0;1.02;7.85;9.44;6.55;6.30;8.13;8.82;12.9;21.3;4.8;24;251;11.6;6.5;36.0;87.86;87.86;19;24.5;24.8;26.1;73.1;113;0;0.31;0.29;15
JAM;-1.49;-1.56;-0.40;-0.43;1.67;1.65;100.0;100.0;9.64;9.83;15.66;15.41;3.00;3.00;1.0;1.0;2.0;2.0;3.0;3.0;2.0;2.0;0.30;0.30;0.12;0.30;-0.44;-0.36;3.3;1.104;858;17.851;18.916;19.317;19.121;16.806;13.816;;-2.4;65.7;7.19;-0.23;9.27;250;325;2;0.59;7.25;9.17;6.91;5.00;6.25;8.92;5.0;13.3;13.3;11;638;17.3;9.8;45.5;50.57;50.57;;;;;58.0;174;2;;;
